,,069,UOB Macpherson 
,,001,UOB Main 
,,080,UOB Main 
,,351,UOB Main 
,,497,UOB Marina Bay Sands
,,037,UOB Marina Square 
,,052,UOB Marina Square 
,,019,UOB New Bridge 
,,311,UOB North Bridge 
,,006,UOB Novena Square 
,,016,UOB Novena Square 
,,033,UOB Novena Square 
,,068,UOB Orchard 
,,320,UOB Orchard 
,,036,UOB Parkway Parade 
,,044,UOB Pasir Ris 
,,492,UOB Raffles City 
,,494,UOB Raffles City 
,,493,UOB Rivervale Mall 
,,005,UOB Rochor 
,,047,UOB Rochor 
,,023,UOB Serangoon Garden 
,,024,UOB Serangoon Garden 
,,431,UOB Shenton Way 
,,025,UOB Siglap 
,,031,UOB Siglap 
,,343,UOB South Bridge 
,,418,UOB Suntec City Lite 
,,038,UOB Tampines 
,,055,UOB Tampines 
,,018,UOB Tanglin 
,,029,UOB Tanglin 
,,009,UOB Tanjong Pagar 
,,011,UOB Tanjong Pagar 
,,021,UOB Tanjong Pagar 
,,007,UOB Thomson 
,,010,UOB Thomson 
,,022,UOB Thomson 
,,050,UOB Tiong Bahru Plaza 
,,015,UOB Toa Payoh 
,,496,UOB Toa Payoh Lite 
,,059,UOB Upper Bukit Timah 
,,008,UOB Vivo City 
,,060,UOB Vivo City 
,,495,UOB Vivo City 
,,495,UOB Vivo city 
,,441,UOB West Coast 
,,045,UOB Woodlands 
,,039,UOB Yishun 
,,346,UOB Yishun 
,,446,UOB Yishun Central 
